,Date,Won
288,2021-09-03 (금),10347.0
289,2021-09-06 (월),23458.0
290,2021-09-06 (월),92017.0
291,2021-09-07 (화),38436.0
292,2021-09-07 (화),91519.0
293,2021-09-07 (화),9705.0
294,2021-09-08 (수),16162.0
295,2021-09-08 (수),73716.0
296,2021-09-09 (목),113187.0
297,2021-09-09 (목),375246.0
298,2021-09-09 (목),18468.0
299,2021-09-10 (금),15279.0
300,2021-09-10 (금),134552.0
301,2021-09-13 (월),6511.0
302,2021-09-13 (월),128586.0
303,2021-09-14 (화),28334.0
304,2021-09-14 (화),23595.0
305,2021-09-15 (수),6504.0
306,2021-09-15 (수),186033.0
307,2021-09-15 (수),14273.0
308,2021-09-16 (목),140926.0
309,2021-09-16 (목),411358.0
310,2021-09-16 (목),17600.0
311,2021-09-17 (금),30183.0
312,2021-09-17 (금),49109.0
313,2021-09-17 (금),118119.0
314,2021-09-17 (금),58986.0
315,2021-09-17 (금),15820.0
316,2021-09-23 (목),45780.0
317,2021-09-23 (목),20020.0
318,2021-09-23 (목),99531.0
319,2021-09-24 (금),52636.0
320,2021-09-24 (금),85988.0
321,2021-09-27 (월),182257.0
322,2021-09-27 (월),321718.0
323,2021-09-27 (월),18762.0
324,2021-09-29 (수),78818.0
325,2021-09-29 (수),24016.0
326,2021-09-30 (목),182019.0
327,2021-09-30 (목),319308.0
328,2021-09-30 (목),7920.0
329,2021-10-01 (금),39672.0
330,2021-10-01 (금),156100.0
331,2021-10-05 (화),43785.0
332,2021-10-05 (화),52911.0
333,2021-10-06 (수),6754.0
334,2021-10-06 (수),20020.0
335,2021-10-06 (수),66800.0
336,2021-10-06 (수),22055.0
337,2021-10-07 (목),40250.0
338,2021-10-07 (목),56495.0
339,2021-10-07 (목),3431.0
340,2021-10-08 (금),177319.0
341,2021-10-08 (금),414414.0
342,2021-10-08 (금),17939.0
343,2021-10-12 (화),22224.0
344,2021-10-12 (화),71170.0
345,2021-10-13 (수),38180.0
346,2021-10-13 (수),74624.0
347,2021-10-13 (수),29630.0
348,2021-10-14 (목),8342.0
349,2021-10-14 (목),42897.0
350,2021-10-15 (금),188032.0
351,2021-10-15 (금),322573.0
352,2021-10-15 (금),31044.0
353,2021-10-18 (월),23056.0
354,2021-10-18 (월),20487.0
355,2021-10-18 (월),22389.0
356,2021-10-19 (화),65378.0
357,2021-10-19 (화),106628.0
358,2021-10-19 (화),5802.0
359,2021-10-20 (수),23935.0
360,2021-10-20 (수),4000.0
361,2021-10-20 (수),94255.0
362,2021-10-20 (수),9233.0
363,2021-10-21 (목),144155.0
364,2021-10-21 (목),451817.0
365,2021-10-21 (목),13585.0
366,2021-10-22 (금),38561.0
367,2021-10-22 (금),43985.0
368,2021-10-22 (금),12359.0
369,2021-10-25 (월),29429.0
370,2021-10-25 (월),11604.0
371,2021-10-26 (화),17196.0
372,2021-10-26 (화),98015.0
373,2021-10-26 (화),44106.0
374,2021-10-27 (수),19697.0
375,2021-10-27 (수),25094.0
376,2021-10-27 (수),12605.0
377,2021-10-28 (목),147021.0
378,2021-10-28 (목),276794.0
379,2021-10-28 (목),11556.0
380,2021-10-29 (금),55868.0
381,2021-10-29 (금),26710.0
382,2021-11-01 (월),15279.0
383,2021-11-01 (월),11604.0
384,2021-11-02 (화),103564.0
385,2021-11-02 (화),114756.0
386,2021-11-03 (수),19305.0
387,2021-11-03 (수),47137.0
388,2021-11-03 (수),8268.0
389,2021-11-04 (목),156600.0
390,2021-11-04 (목),366342.0
391,2021-11-05 (금),53699.0
392,2021-11-05 (금),26315.0
393,2021-11-08 (월),21000.0
394,2021-11-08 (월),39906.0
395,2021-11-09 (화),45216.0
396,2021-11-09 (화),66460.0
397,2021-11-10 (수),20465.0
398,2021-11-10 (수),41321.0
399,2021-11-10 (수),2401.0
400,2021-11-11 (목),117247.0
401,2021-11-11 (목),213879.0
402,2021-11-15 (월),15573.0
403,2021-11-15 (월),85205.0
404,2021-11-15 (월),8558.0
405,2021-11-16 (화),7146.0
406,2021-11-16 (화),92912.0
407,2021-11-16 (화),10366.0
408,2021-11-17 (수),6656.0
409,2021-11-17 (수),49644.0
410,2021-11-18 (목),121271.0
411,2021-11-18 (목),201131.0
412,2021-11-18 (목),19817.0
413,2021-11-19 (금),21358.0
414,2021-11-19 (금),34013.0
415,2021-11-19 (금),10939.0
416,2021-11-22 (월),7278.0
417,2021-11-22 (월),61363.0
418,2021-11-23 (화),11368.0
419,2021-11-23 (화),37382.0
420,2021-11-24 (수),30123.0
421,2021-11-24 (수),92963.0
422,2021-11-25 (목),134689.0
423,2021-11-25 (목),438129.0
424,2021-11-25 (목),4835.0
425,2021-11-26 (금),16101.0
426,2021-11-26 (금),82244.0
