날짜,검사수,검사수 증가량,영업 제한 시각,평균기온(°C),일강수량(mm),Won
20210227,0.20347274136373134,0.5095869995127683,0.16666666666666652,0.5236051502145923,0.0,0.0
20210228,0.20535325732166793,0.289515921011149,0.16666666666666652,0.4871244635193133,0.0,0.0
20210301,0.2067985933064091,0.21724800091714197,0.16666666666666652,0.4206008583690987,0.872093023255814,0.0
20210302,0.2081983661291738,0.20968157977701987,0.16666666666666652,0.36909871244635195,0.0012919896640826874,0.11789299572599363
20210303,0.2111519463279759,0.46771373706686536,0.16666666666666652,0.4141630901287554,0.0,0.038665185540094946
20210304,0.21423237851182603,0.48877934137743256,0.16666666666666652,0.47424892703862664,0.0,0.09745833187102602
20210305,0.21743483022415094,0.5090424464761686,0.16666666666666652,0.5128755364806867,0.0,0.11462056057805135
20210306,0.2202766598646964,0.4491559427932705,0.16666666666666652,0.4613733905579399,0.0,0.0
20210307,0.2221046228573988,0.28078874208248544,0.16666666666666652,0.4527896995708155,0.0,0.0
20210308,0.22371685118165213,0.2449628844114528,0.16666666666666652,0.46995708154506444,0.0,0.09592023889269513
20210309,0.22727000117100776,0.5672809607061993,0.16666666666666652,0.4613733905579399,0.0,0.11629234142612348
20210310,0.23036795100993596,0.49168840102032046,0.16666666666666652,0.5085836909871245,0.0,0.05807903173384888
20210311,0.2336558336509667,0.5232294861138975,0.16666666666666652,0.5386266094420601,0.0,0.1145757808935626
20210312,0.236734712545204,0.4885213952022011,0.16666666666666652,0.5450643776824035,0.0,0.06734726263700548
20210313,0.23967888671246168,0.46615172967240837,0.16666666666666652,0.5171673819742489,0.0,0.0
20210314,0.2413718860965824,0.25837608552348745,0.16666666666666652,0.5150214592274678,0.0,0.0
20210315,0.24297168810393305,0.24289931500960132,0.16666666666666652,0.5472103004291846,0.021963824289405683,0.13095991955529582
20210316,0.24652155892632827,0.5667364076695995,0.16666666666666652,0.5,0.016795865633074936,0.08082159799925842
20210317,0.2504421482029863,0.628299561491502,0.16666666666666652,0.5085836909871245,0.0,0.07578388572945738
20210318,0.25446145766392664,0.6446934739617666,0.16666666666666652,0.5708154506437768,0.0,0.38571190969196945
20210319,0.2585046705261311,0.648662978991717,0.16666666666666652,0.648068669527897,0.0,0.09646955781352759
20210320,0.2623023773356406,0.6078931529620818,0.16666666666666652,0.5321888412017168,0.06589147286821705,0.0
20210321,0.2643530648000498,0.31777535754205954,0.16666666666666652,0.44420600858369097,0.0038759689922480615,0.0
20210322,0.26635939721662577,0.31040956120489527,0.16666666666666652,0.4527896995708155,0.0,0.1625373651307608
20210323,0.2702448648892604,0.6224671118626579,0.16666666666666652,0.5150214592274678,0.0,0.06318235709697158
20210324,0.2737156042352685,0.5535954830758648,0.16666666666666652,0.5515021459227468,0.0,0.1346403563248733
20210325,0.2775685391199009,0.6170645725258662,0.16666666666666652,0.5751072961373391,0.0,0.34154361668525707
20210326,0.28132603298721154,0.6012152130922014,0.16666666666666652,0.5901287553648069,0.0,0.10215424570119798
20210327,0.2850509077726526,0.5957983434123412,0.16666666666666652,0.5793991416309012,0.32945736434108525,0.0
20210328,0.2870380829506704,0.30722822504370756,0.16666666666666652,0.5128755364806867,0.11886304909560721,0.0
20210329,0.2888272999969193,0.274354418044768,0.16666666666666652,0.5386266094420601,0.002583979328165375,0.07451358572503232
